x,y
134.27,-79.71
-26.99,9.46
106.63,-56.45
-89.05,26.9
72.23,-33.8
50.72,-22.11
41.81,-17.69
4,-1.52
24.89,-10.02
130.93,-76.03
168.85,-116.67
90.58,-45.04
170.76,-119.54
127.34,-72.7
-67.93,21.38
99.71,-50.9
166.81,-113.51
104.98,-54.65
160.47,-105.84
206.1,-174.67
214.94,-192.88
206.91,-176.61
205.13,-172.98
247.95,-285.4
232.66,-237.13
193.59,-152.67
200.84,-165.1
187.22,-142.54
221.92,-209.16
245.75,-277.91
210.85,-185.38
237.75,-251.99
248.25,-286.3
255.56,-313.4
263.26,-346.33
207.2,-177.42
214.21,-191.95
173.85,-123.28
229.53,-227.67
218.45,-201.77
265.21,-354.36
262.84,-343.44
267.37,-363.62
244.17,-270.45
266.92,-363.95
244.13,-271.61
264.21,-348.88
254,-304.59
290.42,-515.65
289.43,-507.29
265.35,-354.25
251.07,-293.51
268.45,-368.58
263.84,-345.11
279.72,-434.64
271.39,-384.54
267.55,-364.41
242.79,-264.95
255.15,-308.35
290.6,-515.93
264.88,-352.3
288.43,-496.68
312.42,-776.46
302.77,-636.48
294.86,-557.18
293.36,-544.12
287.4,-492.53
253.05,-376.58
296.78,-780.38
183.11,-178.62
47.5,-26.64
35.77,-19.35
16.71,-8.53
22.34,-11.59
49.34,-27.79
-3.58,1.73
-5.74,2.75
34.89,-18.74
10.85,-5.44
-5.55,2.66
-25.23,11.48
-33.11,14.76
-29.85,13.42
-34.42,15.31
-3.63,1.74
-25.06,11.36
1.06,-0.51
-50.61,21.51
-4.15,1.99
1.84,-0.9
-47.59,20.39
8.51,-4.21
-2.92,1.4
-0.33,0.16
-10.2,4.79
-7.66,3.62
-24.99,11.27
3.33,-1.62
3.67,-1.79
-50.1,21.26
-1.01,0.49
33.51,-17.75
-19.46,8.93
28.04,-14.68
35.18,-18.88
-2.57,1.24
-34.54,15.37
8.12,-4.03
-42.5,18.5
-7.3,3.47
-10.43,4.91
-11.55,5.41
-6.39,3.03
-5.38,2.56
-27.2,12.23
-53.19,22.44
-2.23,1.07
-27.28,12.22
-72.55,29.23
-16.28,7.49
-25.54,11.49
-38.12,16.6
-34.26,15.05
-21.69,9.81
19.73,-9.94
-17.03,8.1
783.36,315.64
825.24,303.79
784.64,315.59
1271.29,244.4
621.86,386.86
646.99,368.8
655.27,363.27
654.94,363.18
727.58,329.03
685.2,344.97
671.46,352.02
725.17,329.71
684.52,347.44
693.04,344.17
690,345.05
662.73,359.51
669.1,356.38
664.26,359.17
680.7,351.89
665.77,360.04
740.04,327.99
705.1,342.19
720.64,336.64
768.64,319.13
706.93,340.91
654.1,366.45
723.29,333.51
656.23,364.56
652.6,366.61
673.55,354.53
684.3,349.59
639.71,373.6
634.37,377.07
690.32,346.68
712.07,337.09
686.58,348.43
668.01,357.58
643.06,371.43
666.59,358.2
660.67,361.17
623.09,384.88
620.04,387.04
681.96,350.13
639.16,373.21
659.29,361.49
416.34,859.06
337.17,8614.46
365.83,1806.05
414.64,874.02
524.32,486.11
576.9,421.06
588.52,410.31
574.51,425.43
594.94,407.54
589.99,410.88
619.92,387.09
641.57,372.76
638.15,374.82
582.98,417.15
625,383.06
632.83,377.92
619.19,387.28
632.83,377.92
